Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,"Tuesday, April 12, 2016",1,327,346
1503960366,"Wednesday, April 13, 2016",2,384,407
1503960366,"Friday, April 15, 2016",1,412,442
1503960366,"Saturday, April 16, 2016",2,340,367
1503960366,"Sunday, April 17, 2016",1,700,712
1503960366,"Tuesday, April 19, 2016",1,304,320
1503960366,"Wednesday, April 20, 2016",1,360,377
1503960366,"Thursday, April 21, 2016",1,325,364
1503960366,"Saturday, April 23, 2016",1,361,384
1503960366,"Sunday, April 24, 2016",1,430,449
1503960366,"Monday, April 25, 2016",1,277,323
1503960366,"Tuesday, April 26, 2016",1,245,274
1503960366,"Thursday, April 28, 2016",1,366,393
1503960366,"Friday, April 29, 2016",1,341,354
1503960366,"Saturday, April 30, 2016",1,404,425
1503960366,"Sunday, May 1, 2016",1,369,396
1503960366,"Monday, May 2, 2016",1,277,309
1503960366,"Tuesday, May 3, 2016",1,273,296
1503960366,"Thursday, May 5, 2016",1,247,264
1503960366,"Friday, May 6, 2016",1,334,367
1503960366,"Saturday, May 7, 2016",1,331,349
1503960366,"Sunday, May 8, 2016",1,594,611
1503960366,"Monday, May 9, 2016",1,338,342
1503960366,"Tuesday, May 10, 2016",1,383,403
1503960366,"Wednesday, May 11, 2016",1,285,306
1644430081,"Friday, April 29, 2016",1,119,127
1644430081,"Saturday, April 30, 2016",1,124,142
1644430081,"Monday, May 2, 2016",1,796,961
1644430081,"Sunday, May 8, 2016",1,137,154
1844505072,"Friday, April 15, 2016",1,644,961
1844505072,"Saturday, April 30, 2016",1,722,961
1844505072,"Sunday, May 1, 2016",1,590,961
1927972279,"Tuesday, April 12, 2016",3,750,775
1927972279,"Wednesday, April 13, 2016",1,398,422
1927972279,"Friday, April 15, 2016",2,475,499
1927972279,"Tuesday, April 26, 2016",1,296,315
1927972279,"Thursday, April 28, 2016",1,166,178
2026352035,"Tuesday, April 12, 2016",1,503,546
2026352035,"Wednesday, April 13, 2016",1,531,565
2026352035,"Thursday, April 14, 2016",1,545,568
2026352035,"Friday, April 15, 2016",1,523,573
2026352035,"Saturday, April 16, 2016",1,524,567
2026352035,"Sunday, April 17, 2016",1,437,498
2026352035,"Tuesday, April 19, 2016",1,498,540
2026352035,"Wednesday, April 20, 2016",1,461,510
2026352035,"Thursday, April 21, 2016",1,477,514
2026352035,"Friday, April 22, 2016",1,520,545
2026352035,"Saturday, April 23, 2016",1,522,554
2026352035,"Sunday, April 24, 2016",1,555,591
2026352035,"Monday, April 25, 2016",1,506,531
2026352035,"Wednesday, April 27, 2016",1,508,545
2026352035,"Thursday, April 28, 2016",1,513,545
2026352035,"Friday, April 29, 2016",1,490,510
2026352035,"Saturday, April 30, 2016",1,573,607
2026352035,"Sunday, May 1, 2016",1,527,546
2026352035,"Monday, May 2, 2016",1,511,543
2026352035,"Wednesday, May 4, 2016",1,538,560
2026352035,"Thursday, May 5, 2016",1,468,485
2026352035,"Friday, May 6, 2016",1,524,548
2026352035,"Saturday, May 7, 2016",1,511,521
2026352035,"Sunday, May 8, 2016",1,541,568
2026352035,"Monday, May 9, 2016",1,531,556
2026352035,"Tuesday, May 10, 2016",1,357,380
2026352035,"Wednesday, May 11, 2016",1,523,553
2026352035,"Thursday, May 12, 2016",1,456,485
2320127002,"Saturday, April 23, 2016",1,61,69
2347167796,"Wednesday, April 13, 2016",1,467,531
2347167796,"Thursday, April 14, 2016",1,445,489
2347167796,"Friday, April 15, 2016",1,452,504
2347167796,"Sunday, April 17, 2016",1,556,602
2347167796,"Monday, April 18, 2016",1,500,557
2347167796,"Tuesday, April 19, 2016",1,465,514
2347167796,"Thursday, April 21, 2016",1,460,484
2347167796,"Friday, April 22, 2016",1,405,461
2347167796,"Saturday, April 23, 2016",1,374,386
2347167796,"Sunday, April 24, 2016",1,442,459
2347167796,"Monday, April 25, 2016",1,433,471
2347167796,"Tuesday, April 26, 2016",1,436,490
2347167796,"Wednesday, April 27, 2016",1,448,499
2347167796,"Thursday, April 28, 2016",1,408,450
2347167796,"Friday, April 29, 2016",1,411,473
3977333714,"Tuesday, April 12, 2016",1,274,469
3977333714,"Wednesday, April 13, 2016",2,295,456
3977333714,"Thursday, April 14, 2016",1,291,397
3977333714,"Friday, April 15, 2016",1,424,556
3977333714,"Saturday, April 16, 2016",1,283,510
3977333714,"Sunday, April 17, 2016",1,381,566
3977333714,"Monday, April 18, 2016",2,412,522
3977333714,"Tuesday, April 19, 2016",1,219,395
3977333714,"Wednesday, April 20, 2016",2,152,305
3977333714,"Thursday, April 21, 2016",1,332,512
3977333714,"Friday, April 22, 2016",1,355,476
3977333714,"Saturday, April 23, 2016",1,235,372
3977333714,"Sunday, April 24, 2016",1,310,526
3977333714,"Monday, April 25, 2016",1,262,467
3977333714,"Tuesday, April 26, 2016",1,250,371
3977333714,"Wednesday, April 27, 2016",1,349,540
3977333714,"Thursday, April 28, 2016",1,261,423
3977333714,"Friday, April 29, 2016",1,333,478
3977333714,"Saturday, April 30, 2016",1,237,382
3977333714,"Sunday, May 1, 2016",1,383,626
3977333714,"Monday, May 2, 2016",1,230,384
3977333714,"Tuesday, May 3, 2016",1,292,500
3977333714,"Wednesday, May 4, 2016",1,213,336
3977333714,"Thursday, May 5, 2016",1,318,480
3977333714,"Friday, May 6, 2016",1,323,512
3977333714,"Saturday, May 7, 2016",1,237,443
3977333714,"Sunday, May 8, 2016",2,259,456
3977333714,"Tuesday, May 10, 2016",1,312,452
4020332650,"Tuesday, April 12, 2016",1,501,541
4020332650,"Saturday, April 16, 2016",1,77,77
4020332650,"Tuesday, May 3, 2016",1,322,332
4020332650,"Wednesday, May 4, 2016",1,478,536
4020332650,"Thursday, May 5, 2016",1,226,248
4020332650,"Friday, May 6, 2016",1,385,408
4020332650,"Sunday, May 8, 2016",1,364,402
4020332650,"Tuesday, May 10, 2016",1,442,494
4319703577,"Thursday, April 14, 2016",1,535,557
4319703577,"Friday, April 15, 2016",1,465,491
4319703577,"Saturday, April 16, 2016",1,506,522
4319703577,"Monday, April 18, 2016",1,515,551
4319703577,"Tuesday, April 19, 2016",2,461,498
4319703577,"Wednesday, April 20, 2016",1,523,543
4319703577,"Thursday, April 21, 2016",1,59,65
4319703577,"Friday, April 22, 2016",1,533,550
4319703577,"Saturday, April 23, 2016",1,692,722
4319703577,"Sunday, April 24, 2016",1,467,501
4319703577,"Monday, April 25, 2016",1,488,506
4319703577,"Tuesday, April 26, 2016",1,505,516
4319703577,"Wednesday, April 27, 2016",1,286,307
4319703577,"Thursday, April 28, 2016",1,497,522
4319703577,"Friday, April 29, 2016",1,523,546
4319703577,"Saturday, April 30, 2016",1,490,516
4319703577,"Sunday, May 1, 2016",1,484,500
4319703577,"Monday, May 2, 2016",1,478,506
4319703577,"Tuesday, May 3, 2016",1,474,512
4319703577,"Friday, May 6, 2016",1,450,491
4319703577,"Saturday, May 7, 2016",1,507,530
4319703577,"Sunday, May 8, 2016",1,602,638
4319703577,"Monday, May 9, 2016",1,535,565
4319703577,"Tuesday, May 10, 2016",1,487,517
4319703577,"Wednesday, May 11, 2016",1,529,558
4319703577,"Thursday, May 12, 2016",1,302,321
4388161847,"Friday, April 15, 2016",1,499,526
4388161847,"Saturday, April 16, 2016",2,426,448
4388161847,"Sunday, April 17, 2016",2,619,641
4388161847,"Monday, April 18, 2016",1,99,104
4388161847,"Tuesday, April 19, 2016",1,329,338
4388161847,"Wednesday, April 20, 2016",1,421,451
4388161847,"Thursday, April 21, 2016",1,442,458
4388161847,"Friday, April 22, 2016",1,82,85
4388161847,"Saturday, April 23, 2016",1,478,501
4388161847,"Sunday, April 24, 2016",3,552,595
4388161847,"Tuesday, April 26, 2016",1,319,346
4388161847,"Wednesday, April 27, 2016",1,439,500
4388161847,"Thursday, April 28, 2016",1,428,458
4388161847,"Saturday, April 30, 2016",2,409,430
4388161847,"Sunday, May 1, 2016",1,547,597
4388161847,"Monday, May 2, 2016",2,368,376
4388161847,"Wednesday, May 4, 2016",1,390,414
4388161847,"Thursday, May 5, 2016",1,471,495
4388161847,"Thursday, May 5, 2016",1,471,495
4388161847,"Saturday, May 7, 2016",1,472,496
4388161847,"Sunday, May 8, 2016",2,529,541
4388161847,"Monday, May 9, 2016",1,62,65
4388161847,"Tuesday, May 10, 2016",1,354,375
4388161847,"Wednesday, May 11, 2016",1,469,494
4445114986,"Tuesday, April 12, 2016",2,429,457
4445114986,"Wednesday, April 13, 2016",2,370,406
4445114986,"Thursday, April 14, 2016",1,441,492
4445114986,"Friday, April 15, 2016",2,337,379
4445114986,"Saturday, April 16, 2016",1,462,499
4445114986,"Sunday, April 17, 2016",1,98,107
4445114986,"Tuesday, April 19, 2016",2,388,424
4445114986,"Wednesday, April 20, 2016",1,439,462
4445114986,"Thursday, April 21, 2016",1,436,469
4445114986,"Friday, April 22, 2016",1,388,417
4445114986,"Monday, April 25, 2016",1,328,345
4445114986,"Tuesday, April 26, 2016",2,353,391
4445114986,"Wednesday, April 27, 2016",1,332,374
4445114986,"Thursday, April 28, 2016",1,419,442
4445114986,"Friday, April 29, 2016",1,106,108
4445114986,"Saturday, April 30, 2016",1,322,353
4445114986,"Sunday, May 1, 2016",2,439,459
4445114986,"Monday, May 2, 2016",1,502,542
4445114986,"Tuesday, May 3, 2016",2,417,450
4445114986,"Wednesday, May 4, 2016",2,337,363
4445114986,"Thursday, May 5, 2016",2,462,513
4445114986,"Friday, May 6, 2016",2,374,402
4445114986,"Saturday, May 7, 2016",2,401,436
4445114986,"Sunday, May 8, 2016",1,361,391
4445114986,"Monday, May 9, 2016",1,457,533
4445114986,"Tuesday, May 10, 2016",1,405,426
4445114986,"Wednesday, May 11, 2016",1,499,530
4445114986,"Thursday, May 12, 2016",1,483,501
4558609924,"Thursday, April 21, 2016",1,126,137
4558609924,"Tuesday, April 26, 2016",1,103,121
4558609924,"Friday, April 29, 2016",1,171,179
4558609924,"Sunday, May 1, 2016",1,115,129
4558609924,"Sunday, May 8, 2016",1,123,134
4702921684,"Tuesday, April 12, 2016",1,425,439
4702921684,"Wednesday, April 13, 2016",2,400,430
4702921684,"Thursday, April 14, 2016",1,384,415
4702921684,"Friday, April 15, 2016",1,253,257
4702921684,"Saturday, April 16, 2016",2,382,406
4702921684,"Sunday, April 17, 2016",1,591,612
4702921684,"Monday, April 18, 2016",1,293,312
4702921684,"Tuesday, April 19, 2016",1,457,487
4702921684,"Wednesday, April 20, 2016",1,454,468
4702921684,"Thursday, April 21, 2016",1,425,434
4702921684,"Saturday, April 23, 2016",1,465,475
4702921684,"Sunday, April 24, 2016",1,480,506
4702921684,"Monday, April 25, 2016",1,370,380
4702921684,"Tuesday, April 26, 2016",1,421,429
4702921684,"Wednesday, April 27, 2016",1,432,449
4702921684,"Thursday, April 28, 2016",1,442,461
4702921684,"Friday, April 29, 2016",1,433,447
4702921684,"Saturday, April 30, 2016",1,479,501
4702921684,"Tuesday, May 3, 2016",1,327,373
4702921684,"Wednesday, May 4, 2016",1,412,434
4702921684,"Thursday, May 5, 2016",1,414,428
4702921684,"Friday, May 6, 2016",1,404,449
4702921684,"Saturday, May 7, 2016",1,520,543
4702921684,"Saturday, May 7, 2016",1,520,543
4702921684,"Monday, May 9, 2016",1,435,458
4702921684,"Tuesday, May 10, 2016",1,416,431
4702921684,"Wednesday, May 11, 2016",1,354,366
4702921684,"Thursday, May 12, 2016",1,404,442
5553957443,"Tuesday, April 12, 2016",1,441,464
5553957443,"Wednesday, April 13, 2016",2,455,488
5553957443,"Thursday, April 14, 2016",1,357,418
5553957443,"Friday, April 15, 2016",1,377,409
5553957443,"Saturday, April 16, 2016",2,651,686
5553957443,"Sunday, April 17, 2016",1,350,402
5553957443,"Monday, April 18, 2016",2,520,541
5553957443,"Tuesday, April 19, 2016",1,357,410
5553957443,"Wednesday, April 20, 2016",1,658,678
5553957443,"Thursday, April 21, 2016",1,399,431
5553957443,"Friday, April 22, 2016",1,322,353
5553957443,"Saturday, April 23, 2016",2,631,725
5553957443,"Sunday, April 24, 2016",2,553,640
5553957443,"Monday, April 25, 2016",1,433,468
5553957443,"Tuesday, April 26, 2016",1,412,453
5553957443,"Wednesday, April 27, 2016",1,347,391
5553957443,"Thursday, April 28, 2016",1,421,457
5553957443,"Friday, April 29, 2016",1,450,495
5553957443,"Saturday, April 30, 2016",2,775,843
5553957443,"Sunday, May 1, 2016",2,622,686
5553957443,"Monday, May 2, 2016",1,409,471
5553957443,"Tuesday, May 3, 2016",1,380,429
5553957443,"Wednesday, May 4, 2016",1,447,470
5553957443,"Thursday, May 5, 2016",1,419,464
5553957443,"Friday, May 6, 2016",1,400,434
5553957443,"Saturday, May 7, 2016",1,442,470
5553957443,"Sunday, May 8, 2016",1,568,608
5553957443,"Monday, May 9, 2016",1,453,494
5553957443,"Tuesday, May 10, 2016",1,418,443
5553957443,"Wednesday, May 11, 2016",1,463,486
5553957443,"Thursday, May 12, 2016",1,438,475
5577150313,"Tuesday, April 12, 2016",1,419,438
5577150313,"Wednesday, April 13, 2016",1,432,458
5577150313,"Thursday, April 14, 2016",1,477,497
5577150313,"Friday, April 15, 2016",1,392,413
5577150313,"Saturday, April 16, 2016",1,406,445
5577150313,"Sunday, April 17, 2016",1,549,583
5577150313,"Monday, April 18, 2016",1,527,553
5577150313,"Tuesday, April 19, 2016",1,449,465
5577150313,"Wednesday, April 20, 2016",1,447,480
5577150313,"Thursday, April 21, 2016",1,414,437
5577150313,"Friday, April 22, 2016",1,338,366
5577150313,"Saturday, April 23, 2016",1,384,402
5577150313,"Sunday, April 24, 2016",1,543,615
5577150313,"Monday, April 25, 2016",1,421,461
5577150313,"Tuesday, April 26, 2016",1,354,377
5577150313,"Wednesday, April 27, 2016",1,424,452
5577150313,"Thursday, April 28, 2016",1,361,372
5577150313,"Friday, April 29, 2016",1,459,485
5577150313,"Saturday, April 30, 2016",1,412,433
5577150313,"Sunday, May 1, 2016",1,379,398
5577150313,"Monday, May 2, 2016",2,525,553
5577150313,"Tuesday, May 3, 2016",1,508,543
5577150313,"Wednesday, May 4, 2016",1,603,634
5577150313,"Thursday, May 5, 2016",1,74,78
5577150313,"Tuesday, May 10, 2016",1,504,562
5577150313,"Wednesday, May 11, 2016",1,431,476
6117666160,"Saturday, April 16, 2016",1,380,398
6117666160,"Sunday, April 17, 2016",2,336,350
6117666160,"Monday, April 18, 2016",2,493,510
6117666160,"Tuesday, April 19, 2016",1,465,492
6117666160,"Wednesday, April 20, 2016",1,474,502
6117666160,"Thursday, April 21, 2016",1,508,550
6117666160,"Friday, April 22, 2016",1,480,546
6117666160,"Saturday, April 23, 2016",1,492,539
6117666160,"Sunday, April 24, 2016",1,353,367
6117666160,"Wednesday, April 27, 2016",1,542,557
6117666160,"Thursday, April 28, 2016",1,393,416
6117666160,"Friday, April 29, 2016",1,600,636
6117666160,"Sunday, May 1, 2016",1,507,575
6117666160,"Thursday, May 5, 2016",1,392,415
6117666160,"Friday, May 6, 2016",2,658,698
6117666160,"Saturday, May 7, 2016",2,498,507
6117666160,"Sunday, May 8, 2016",1,555,603
6117666160,"Monday, May 9, 2016",1,492,522
6775888955,"Wednesday, April 13, 2016",1,235,260
6775888955,"Thursday, April 14, 2016",1,423,441
6775888955,"Friday, April 15, 2016",1,391,406
6962181067,"Tuesday, April 12, 2016",1,366,387
6962181067,"Wednesday, April 13, 2016",3,630,679
6962181067,"Thursday, April 14, 2016",2,508,535
6962181067,"Friday, April 15, 2016",1,370,386
6962181067,"Saturday, April 16, 2016",1,357,366
6962181067,"Sunday, April 17, 2016",1,427,446
6962181067,"Monday, April 18, 2016",1,442,458
6962181067,"Tuesday, April 19, 2016",1,476,535
6962181067,"Wednesday, April 20, 2016",1,418,424
6962181067,"Thursday, April 21, 2016",1,451,457
6962181067,"Friday, April 22, 2016",1,425,435
6962181067,"Saturday, April 23, 2016",1,528,546
6962181067,"Sunday, April 24, 2016",1,511,514
6962181067,"Monday, April 25, 2016",1,400,415
6962181067,"Tuesday, April 26, 2016",1,441,446
6962181067,"Wednesday, April 27, 2016",1,455,467
6962181067,"Thursday, April 28, 2016",1,440,453
6962181067,"Friday, April 29, 2016",1,433,447
6962181067,"Saturday, April 30, 2016",1,422,424
6962181067,"Sunday, May 1, 2016",1,411,426
6962181067,"Monday, May 2, 2016",1,466,482
6962181067,"Tuesday, May 3, 2016",1,394,418
6962181067,"Wednesday, May 4, 2016",1,442,455
6962181067,"Thursday, May 5, 2016",1,467,491
6962181067,"Friday, May 6, 2016",1,443,462
6962181067,"Saturday, May 7, 2016",1,298,334
6962181067,"Sunday, May 8, 2016",1,541,569
6962181067,"Monday, May 9, 2016",1,489,497
6962181067,"Tuesday, May 10, 2016",1,469,481
6962181067,"Wednesday, May 11, 2016",1,452,480
6962181067,"Thursday, May 12, 2016",1,516,535
7007744171,"Saturday, April 16, 2016",1,79,82
7007744171,"Sunday, May 1, 2016",1,58,61
7086361926,"Tuesday, April 12, 2016",1,514,525
7086361926,"Wednesday, April 13, 2016",1,451,465
7086361926,"Thursday, April 14, 2016",1,472,476
7086361926,"Friday, April 15, 2016",1,377,386
7086361926,"Tuesday, April 19, 2016",1,472,483
7086361926,"Wednesday, April 20, 2016",1,492,502
7086361926,"Thursday, April 21, 2016",1,390,411
7086361926,"Friday, April 22, 2016",1,428,448
7086361926,"Sunday, April 24, 2016",1,681,704
7086361926,"Monday, April 25, 2016",1,446,447
7086361926,"Tuesday, April 26, 2016",1,485,500
7086361926,"Wednesday, April 27, 2016",1,469,479
7086361926,"Thursday, April 28, 2016",1,354,367
7086361926,"Saturday, April 30, 2016",1,485,489
7086361926,"Sunday, May 1, 2016",1,388,407
7086361926,"Monday, May 2, 2016",1,440,459
7086361926,"Tuesday, May 3, 2016",1,456,461
7086361926,"Wednesday, May 4, 2016",1,420,436
7086361926,"Friday, May 6, 2016",1,322,333
7086361926,"Saturday, May 7, 2016",1,530,548
7086361926,"Sunday, May 8, 2016",1,481,510
7086361926,"Monday, May 9, 2016",1,427,438
7086361926,"Wednesday, May 11, 2016",1,451,463
7086361926,"Thursday, May 12, 2016",1,444,457
8053475328,"Wednesday, April 20, 2016",1,486,493
8053475328,"Saturday, April 23, 2016",1,331,337
8053475328,"Saturday, May 7, 2016",1,74,75
8378563200,"Tuesday, April 12, 2016",1,338,356
8378563200,"Wednesday, April 13, 2016",2,447,487
8378563200,"Thursday, April 14, 2016",1,424,455
8378563200,"Friday, April 15, 2016",1,513,533
8378563200,"Saturday, April 16, 2016",2,611,689
8378563200,"Sunday, April 17, 2016",2,525,591
8378563200,"Monday, April 18, 2016",1,398,451
8378563200,"Tuesday, April 19, 2016",1,387,421
8378563200,"Wednesday, April 20, 2016",1,381,409
8378563200,"Thursday, April 21, 2016",1,396,417
8378563200,"Friday, April 22, 2016",1,441,469
8378563200,"Saturday, April 23, 2016",1,565,591
8378563200,"Sunday, April 24, 2016",1,458,492
8378563200,"Monday, April 25, 2016",1,388,402
8378563200,"Monday, April 25, 2016",1,388,402
8378563200,"Tuesday, April 26, 2016",1,550,584
8378563200,"Wednesday, April 27, 2016",1,531,600
8378563200,"Thursday, April 28, 2016",1,506,556
8378563200,"Friday, April 29, 2016",1,527,562
8378563200,"Saturday, April 30, 2016",1,468,555
8378563200,"Sunday, May 1, 2016",1,475,539
8378563200,"Monday, May 2, 2016",1,351,385
8378563200,"Tuesday, May 3, 2016",1,405,429
8378563200,"Wednesday, May 4, 2016",1,441,477
8378563200,"Thursday, May 5, 2016",1,381,417
8378563200,"Friday, May 6, 2016",1,323,355
8378563200,"Saturday, May 7, 2016",2,459,513
8378563200,"Sunday, May 8, 2016",1,545,606
8378563200,"Monday, May 9, 2016",1,359,399
8378563200,"Tuesday, May 10, 2016",1,342,391
8378563200,"Wednesday, May 11, 2016",1,368,387
8378563200,"Thursday, May 12, 2016",1,496,546
8792009665,"Tuesday, April 12, 2016",1,458,493
8792009665,"Wednesday, April 13, 2016",1,531,552
8792009665,"Thursday, April 14, 2016",1,486,503
8792009665,"Friday, April 15, 2016",1,363,377
8792009665,"Wednesday, April 20, 2016",1,528,547
8792009665,"Friday, April 22, 2016",1,391,407
8792009665,"Saturday, April 23, 2016",1,339,360
8792009665,"Wednesday, April 27, 2016",1,423,428
8792009665,"Thursday, April 28, 2016",1,402,416
8792009665,"Friday, April 29, 2016",1,398,406
8792009665,"Saturday, April 30, 2016",1,343,360
8792009665,"Sunday, May 1, 2016",1,503,527
8792009665,"Monday, May 2, 2016",1,415,423
8792009665,"Tuesday, May 3, 2016",1,516,545
8792009665,"Wednesday, May 4, 2016",1,439,463
